board,moves
"[[0, 0, 0, 4, 0, 0, 6, 0], [0, 1, 0, 0, 0, 1, 1, 0], [0, 0, 1, 0, 1, 0, 0, 1], [0, 0, 0, 0, -1, 0, 2, 5], [0, 0, -1, 0, 0, 0, 0, 0], [-1, -5, -4, 4, -3, 0, 0, -1], [0, -1, 0, 0, 0, -1, -1, 0], [0, 0, 0, 0, -4, 0, -6, 0]]",c1c3
"[[0, 0, 0, 4, 0, 0, 6, 0], [0, 1, 0, 0, 0, 1, 1, 0], [0, 0, 1, 0, 1, 0, 0, 1], [0, 0, 0, 0, -1, 0, 2, 5], [0, 0, -1, 0, 0, 0, 0, 0], [-1, -5, -4, 0, -3, 0, 0, -1], [0, -1, 0, 0, 0, -1, -1, 0], [0, 0, 0, 4, -4, 0, -6, 0]]",d3d1
"[[0, 0, 0, 4, 0, 0, 6, 0], [0, 1, 0, 0, 0, 1, 1, 0], [0, 0, 1, 0, 1, 0, 0, 1], [0, 0, 0, 0, -1, 0, 2, 5], [0, 0, -1, 0, 0, 0, 0, 0], [-1, -5, 0, 0, -3, 0, 0, -1], [0, -1, 0, 0, 0, -1, -1, 0], [0, 0, -4, 4, -4, 0, -6, 0]]",c3c1
"[[0, 0, 0, 4, 0, 0, 6, 0], [0, 1, 0, 0, 0, 1, 1, 0], [0, 0, 1, 0, 1, 0, 0, 1], [0, 0, 0, 0, -1, 0, 2, 5], [0, 0, -1, 0, 0, 0, 0, 0], [-1, -5, 0, 4, -3, 0, 0, -1], [0, -1, 0, 0, 0, -1, -1, 0], [0, 0, -4, 0, -4, 0, -6, 0]]",d1d3
"[[0, 0, 0, 4, 0, 0, 6, 0], [0, -5, 0, 0, 0, 1, 1, 0], [0, 0, 1, 0, 1, 0, 0, 1], [0, 0, 0, 0, -1, 0, 2, 5], [0, 0, -1, 0, 0, 0, 0, 0], [-1, 0, 0, 4, -3, 0, 0, -1], [0, -1, 0, 0, 0, -1, -1, 0], [0, 0, -4, 0, -4, 0, -6, 0]]",b3b7
"[[0, 0, 0, 4, 0, 0, 6, 0], [0, -5, 0, 0, 0, 1, 1, 0], [0, 0, 1, 0, 1, 0, 0, 1], [0, 0, 0, 0, -1, 0, 0, 5], [0, 0, -1, 0, 0, 0, 0, 0], [-1, 0, 0, 4, -3, 0, 0, 2], [0, -1, 0, 0, 0, -1, -1, 0], [0, 0, -4, 0, -4, 0, -6, 0]]",g5h3
"[[0, 0, 0, 4, 0, 0, 6, 0], [0, -5, 0, 0, 0, 1, 1, 0], [0, 0, 1, 0, 1, 0, 0, 1], [0, 0, 0, 0, -1, 0, 0, 5], [0, 0, -1, 0, 0, 0, 0, 0], [-1, 0, 0, 4, -3, 0, 0, -1], [0, -1, 0, 0, 0, -1, 0, 0], [0, 0, -4, 0, -4, 0, -6, 0]]",g2h3
"[[0, 0, 0, 4, 0, 0, 6, 0], [0, -5, 0, 0, 0, 1, 1, 0], [0, 0, 1, 0, 1, 0, 0, 1], [0, 0, 0, 0, -1, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0, 0], [-1, 0, 0, 4, -3, 0, 0, 5], [0, -1, 0, 0, 0, -1, 0, 0], [0, 0, -4, 0, -4, 0, -6, 0]]",h5h3
"[[0, 0, 0, 4, 0, 0, 6, 0], [0, 0, 0, 0, 0, 1, 1, 0], [0, 0, -5, 0, 1, 0, 0, 1], [0, 0, 0, 0, -1, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0, 0], [-1, 0, 0, 4, -3, 0, 0, 5], [0, -1, 0, 0, 0, -1, 0, 0], [0, 0, -4, 0, -4, 0, -6, 0]]",b7c6
"[[0, 0, 0, 0, 0, 0, 6, 0], [0, 0, 0, 0, 0, 1, 1, 0], [0, 0, -5, 0, 1, 0, 0, 1], [0, 0, 0, 0, -1, 0, 0, 0], [0, 0, -1, 4, 0, 0, 0, 0], [-1, 0, 0, 4, -3, 0, 0, 5], [0, -1, 0, 0, 0, -1, 0, 0], [0, 0, -4, 0, -4, 0, -6, 0]]",d8d4
